ticker,rsi_buy,rsi_sell,holding_days,stop_loss,initial_capital,final_capital,total_return,total_trades,win_rate,avg_win,avg_loss,trades
AAPL,20,80,3,0.03,10000,10110.589665766007,0.011058966576600687,5,0.6,0.01821917998201939,-0.021197143177496148,"[{'entry_date': Timestamp('2025-03-13 00:00:00'), 'entry_price': np.float64(208.96543884277344), 'entry_capital': 10000, 'action': 'BUY', 'entry_index': 23, 'exit_date': Timestamp('2025-03-18 00:00:00'), 'exit_price': np.float64(211.96517944335938), 'exit_capital': np.float64(10143.551996789429), 'pnl': np.float64(143.5519967894288), 'pnl_pct': np.float64(0.014355199678942871), 'days_held': 3}, {'entry_date': Timestamp('2025-12-22 00:00:00'), 'entry_price': np.float64(270.9700012207031), 'entry_capital': np.float64(10143.551996789429), 'action': 'BUY', 'entry_index': 219, 'exit_date': Timestamp('2025-12-26 00:00:00'), 'exit_price': np.float64(273.3999938964844), 'exit_capital': np.float64(10234.516889388475), 'pnl': np.float64(90.96489259904592), 'pnl_pct': np.float64(0.0089677553413082), 'days_held': 3}, {'entry_date': Timestamp('2026-01-12 00:00:00'), 'entry_price': np.float64(260.25), 'entry_capital': np.float64(10234.516889388475), 'action': 'BUY', 'entry_index': 232, 'exit_date': Timestamp('2026-01-15 00:00:00'), 'exit_price': np.float64(258.2099914550781), 'exit_capital': np.float64(10154.292098197313), 'pnl': np.float64(-80.22479119116178), 'pnl_pct': np.float64(-0.007838649548210855), 'days_held': 3}, {'entry_date': Timestamp('2026-01-16 00:00:00'), 'entry_price': np.float64(255.52999877929688), 'entry_capital': np.float64(10154.292098197313), 'action': 'BUY', 'entry_index': 236, 'exit_date': Timestamp('2026-01-20 00:00:00'), 'exit_price': np.float64(246.6999969482422), 'exit_capital': np.float64(9803.404068422034), 'pnl': np.float64(-350.8880297752785), 'pnl_pct': np.float64(-0.03455563680678144), 'days_held': 1}, {'entry_date': Timestamp('2026-01-21 00:00:00'), 'entry_price': np.float64(247.64999389648438), 'entry_capital': np.float64(9803.404068422034), 'action': 'BUY', 'entry_index': 238, 'exit_date': Timestamp('2026-01-26 00:00:00'), 'exit_price': np.float64(255.41000366210938), 'exit_capital': np.float64(10110.589665766007), 'pnl': np.float64(307.1855973439724), 'pnl_pct': np.float64(0.0313345849258071), 'days_held': 3}]"
AAPL,20,80,3,0.05,10000,10000.0,0.0,0,0.0,0.0,0.0,[]
AAPL,20,80,3,0.07,10000,10000.0,0.0,0,0.0,0.0,0.0,[]
AAPL,20,80,5,0.03,10000,10000.0,0.0,0,0.0,0.0,0.0,[]
AAPL,20,80,5,0.05,10000,10000.0,0.0,0,0.0,0.0,0.0,[]
AAPL,20,80,5,0.07,10000,10000.0,0.0,0,0.0,0.0,0.0,[]
AAPL,20,80,7,0.03,10000,10000.0,0.0,0,0.0,0.0,0.0,[]
AAPL,20,80,7,0.05,10000,10000.0,0.0,0,0.0,0.0,0.0,[]
AAPL,20,80,7,0.07,10000,10000.0,0.0,0,0.0,0.0,0.0,[]
AAPL,20,80,10,0.03,10000,10000.0,0.0,0,0.0,0.0,0.0,[]
